2; Stanley; 100001; NULL; 1; 1; 0; 0; 0;
9; 002; 220001; NULL; 1; 1; 0; 0; 0;
11; 4105698; 130001; 5340001; 2; 1; 0; 0; 0;
19; 530410639; 80002; 5663311798468608; 2; 1; 0; 0; 0;
10005; 302907; 5; 5340001; 2; 1; 0; 0; 0;
10007; B1; 20007; 5340001; 2; 1; 0; 0; 0;
10008; 003; 220001; NULL; 1; 1; 0; 0; 0;
10011; Raptor; 180004; NULL; 1; 1; 0; 0; 0;
10012; 4093667; 130001; NULL; 1; 1; 0; 0; 0;
20002; 13408513; 3; 3230001; 2; 1; 0; 0; 0;
20008; D1; 5; 5340001; 2; 1; 0; 0; 0;
30001; 167762; 20001; NULL; 1; 1; 0; 0; 0;
30003; 201307; 160001; 5340001; 2; 1; 0; 0; 0;
30004; 287589; 20006; 5340001; 2; 1; 0; 0; 0;
30005; 007; 220001; NULL; 1; 1; 0; 0; 0;
30010; 126947; 5639274879778816; NULL; 3; 1; 0; 0; 0;
30014; 2337412; 10018; 5662190040252416; 2; 1; 0; 0; 0;
30015; pag1; 120014; 8080002; 2; 1; 0; 0; 0;
30016; 8684739; 5693417237512192; 5912971939151872; 2; 1; 0; 0; 0;
40008; 006; 220001; NULL; 1; 1; 0; 0; 0;
40010; 70 mm; 30012; NULL; 1; 1; 0; 0; 0;
40018; L1; 70011; NULL; 3; 1; 0; 0; 0;
40019; 533257; 5717271485874176; NULL; 3; 1; 0; 0; 0;
50002; 001; 220001; NULL; 1; 1; 0; 1; 0;
60001; 336755; 50001; 6529218678620160; 2; 1; 0; 0; 0;
60002; PA921; 10003; 1150002; 2; 1; 0; 0; 0;
60006; 4071090; 130001; 70001; 2; 1; 0; 0; 0;
60008; 15252; 5; 5889156211277824; 2; 1; 0; 0; 0;
60014; 260730563; 80002; 5340001; 2; 1; 0; 0; 0;
60015; Hultafor; 14; NULL; 1; 1; 0; 0; 0;
60016; 1068918; 60012; NULL; 3; 1; 0; 0; 0;
60021; 50 mm; 80017; NULL; 1; 1; 0; 0; 0;
70002; 090820578; 80002; NULL; 3; 1; 0; 0; 0;
70003; 200850; 160001; 5340001; 2; 1; 0; 0; 0;
70009; 7463567; 5693417237512192; NULL; 3; 1; 0; 0; 0;
70010; dwl1; 170005; 5340001; 2; 1; 0; 0; 0;
80003; 08-32850-0011; 180001; 5889156211277824; 2; 1; 0; 0; 0;
80012; 008; 220001; NULL; 1; 1; 0; 0; 0;
80016; 396145; 120013; 5340001; 2; 1; 0; 0; 0;
80018; 7757584; 5693417237512192; 5340001; 2; 1; 0; 0; 0;
90004; 531610092; 80002; 2430009; 2; 1; 0; 0; 0;
90009; 605510503; 5706307139010560; 2430009; 2; 1; 0; 0; 0;
90011; 7493471; 5693417237512192; 5340001; 2; 1; 0; 0; 0;
90014; 530311321; 80002; 5131833452789760; 2; 1; 0; 0; 0;
100011; 8755287; 5693417237512192; 6326453742338048; 2; 1; 0; 0; 0;
120002; 1026662; 60004; 2430009; 2; 1; 0; 0; 0;
120003; 201110; 160001; 5105650963054592; 2; 1; 0; 0; 0;
120006; 005; 220001; NULL; 1; 1; 0; 0; 0;
130003; 296621; 20006; 5340001; 2; 1; 0; 0; 0;
